Incident Number,Severity,Severity Level,Date,Location,Pipeline Operator,Material Released,PHMSA Guide Reference,Incident Description,Response Actions,Casualties & Injuries
43,🟡 Minor,Minor,"March 18, 2023","Tulsa, Oklahoma",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A flange gasket failure at a compressor station led to a high-pressure gas leak, triggering alarm systems.","Station shut down and non-essential personnel evacuated.
Gas detection sensors confirmed leak area and repairs initiated.
New flange gaskets installed, and all joints inspected.",No injuries reported.
44,🟡 Minor,Minor,"December 22, 2022","New Orleans, Louisiana",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"Heavy rains caused soil erosion along a pipeline route, exposing and weakening the pipeline, eventually leading to a rupture.","Pipeline shutdown and oil containment barriers deployed.
Emergency crews recovered 90% of the spilled oil.
Pipeline reburied with enhanced erosion control measures.",No injuries reported.
45,🟡 Minor,Minor,"October 1, 2021","Oklahoma City, Oklahoma",XYZ Pipeline Company,Hydrogen Sulfide (UN 1053),Guide 117,A valve malfunction in a gas processing plant led to a minor but hazardous release of hydrogen sulfide (H₂S).,"Facility evacuated and H₂S sensors deployed.
Gas ventilation fans activated to disperse toxic fumes.
Valve repaired and additional safety inspections conducted.","One worker suffered minor respiratory distress, treated on-site."
46,🟠 Moderate,Moderate,"February 8, 2023","Houston, Texas",XYZ Pipeline Company,None (Fire Event),Guide 128,"An electrical short circuit in a control panel caused a fire at a crude oil pump station, disabling operations.","Fire extinguished before spreading to adjacent equipment.
Facility power isolated and electrical panels replaced.
Fire-resistant electrical enclosures installed to prevent recurrence.",No injuries reported.
47,⚪ Near Miss / No Impact,,"July 7, 2022","Denver, Colorado",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"A remote monitoring system detected a pressure drop in an LPG pipeline, indicating a small but continuous leak.","Pipeline section isolated and shut down.
Leak identified at a pipe weld seam and repaired.
Remote monitoring system upgraded for faster response.",No injuries reported.
48,⚪ Near Miss / No Impact,,"November 11, 2021","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"Severe coastal flooding caused structural damage to an above-ground oil pipeline, leading to a small but ongoing leak.","Pipeline operations halted to contain the leak.
Pipeline support structures reinforced.
Long-term flood mitigation plan implemented.",No injuries reported.
49,🟡 Minor,Minor,"May 25, 2023","Midland, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,A pressure control system failure resulted in an overpressure condition in a transmission pipeline.,"Automated relief valves activated to vent excess gas safely.
Pipeline operations reviewed and pressure monitoring upgraded.",No injuries reported.
50,⚪ Near Miss / No Impact,,"January 14, 2022","Cheyenne, Wyoming",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A small gas leak was detected along a newly installed pipeline segment, traced to a defective weld.","Pipeline shutdown and weld defect repaired.
All welds in the affected section were re-examined.
Additional quality control measures implemented for new pipeline installations.",No injuries reported.
51,🟡 Minor,Minor,"August 9, 2023","Corpus Christi, Texas",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A routine pipeline integrity assessment detected external corrosion, which led to a minor leak in a 24-inch crude oil pipeline.","Pipeline shutdown and repair initiated per 49 CFR 195.452.
Cathodic protection system enhanced to prevent further corrosion.
Excavation and coating application performed.",No injuries reported.
52,🟡 Minor,Minor,"February 3, 2022","Cheyenne, Wyoming",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"Extreme cold weather led to a valve freeze-up at a compressor station, resulting in an uncontrolled gas release.","Station operations suspended until temperatures stabilized.
Emergency response teams mitigated hazards and depressurized equipment.
Winterization measures implemented to prevent recurrence.",No injuries reported.
53,🟡 Minor,Minor,"July 17, 2021","Midland, Texas",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A construction company failed to identify underground pipelines before road excavation, puncturing a crude oil pipeline.","Pipeline shut down per 49 CFR 195.422.
Cleanup crews deployed to contain oil spill.
Contractor fined for failure to comply with pipeline location laws.",No injuries reported.
54,🟡 Minor,Minor,"March 25, 2023","Baton Rouge, Louisiana",XYZ Pipeline Company,None (Operational Disruption),Guide 128,"A power surge caused an electrical failure at a crude oil pump station, shutting down operations unexpectedly.","Emergency backup power activated.
Control system reset to restore operations.
Surge protection equipment installed to prevent recurrence.",No injuries reported.
55,🟡 Minor,Minor,"November 6, 2022","Oklahoma City, Oklahoma",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A faulty weld in a compressor station pipeline developed a small leak, detected by monitoring systems.","Station shutdown and affected section isolated.
Weld repaired and additional inspections conducted.
Quality control standards updated for future welding procedures.",No injuries reported.
56,⚪ Near Miss / No Impact,,"September 14, 2023","Denver, Colorado",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"Shifting soil conditions caused stress on an underground LPG pipeline, leading to a small rupture.","Pipeline shutdown and immediate emergency response.
Geotechnical assessment conducted for soil stability.
Pipeline rerouted to a more stable location.",No injuries reported.
57,🟠 Moderate,Moderate,"May 1, 2023","Pittsburgh, Pennsylvania",XYZ Pipeline Company,None (Fire Event),Guide 128,"Flammable vapors from a leaking seal ignited at a crude oil pump station, causing a fire in the pump area.","Fire suppression systems activated immediately.
Hazardous vapors monitored to prevent secondary ignition.
Pump station equipment inspected and damaged seals replaced.",No injuries reported.
58,🟡 Minor,Minor,"January 9, 2022","New Orleans, Louisiana",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,A moderate earthquake (5.2 magnitude) caused a minor gas leak in an underground high-pressure pipeline.,"Pipeline integrity assessment conducted.
Leak detected and repaired within 12 hours.
Pipeline retrofitted with seismic-resistant features.",No injuries reported.
59,🟡 Minor,Minor,"June 20, 2023","Tulsa, Oklahoma",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A regulator failure caused excessive pressure buildup in a natural gas distribution system, triggering an emergency shutdown.","Automated relief system activated.
Pressure control system recalibrated to prevent future failures.",No injuries reported.
60,🟡 Minor,Minor,"April 15, 2022","Cheyenne, Wyoming",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A rockslide in a mountainous area damaged a buried crude oil pipeline, causing a small leak.","Pipeline operations halted and emergency crews deployed.
Geotechnical surveys conducted to prevent further incidents.
Pipeline section repaired and reinforced with additional supports.",No injuries reported.
61,⚪ Near Miss / No Impact,,"August 30, 2022","Corpus Christi, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A flange bolt failure at a compressor station led to a small but continuous gas leak, detected by an on-site technician.","Station shutdown and area evacuated as a precaution.
Bolts replaced and flange inspected for defects.
Regular bolt torque inspections added to maintenance protocols.",No injuries reported.
62,🟠 Moderate,Moderate,"February 10, 2023**","Pittsburgh, Pennsylvania",XYZ Pipeline Company,None (Fire Event),Guide 128,"An electrical failure in a pump station control panel led to an electrical fire, which disrupted crude oil transfer operations.","Fire suppression system activated, preventing further spread.
Station operations halted until electrical repairs were completed.
Upgraded electrical components to prevent future failures.",No injuries reported.
63,🟡 Minor,Minor,"June 8, 2021","Houston, Texas",XYZ Pipeline Company,Diesel Fuel (UN 1202),Guide 128,"A private landowner conducting unauthorized digging struck an underground diesel fuel pipeline, causing a moderate spill.","Pipeline shutdown and spill containment deployed.
Regulatory authorities notified of excavation violation.
Landowner fined for failing to follow dig-safe procedures.",No injuries reported.
64,🟡 Minor,Minor,"October 14, 2021","New Orleans, Louisiana",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A pressure relief valve malfunction resulted in an overpressure event, leading to a rupture in the transmission pipeline.","Emergency shutdown initiated, isolating the affected section.
Gas rerouted to alternate pipelines to minimize service disruptions.
Pressure relief systems upgraded across the network.",No injuries reported.
65,🟡 Minor,Minor,"July 6, 2023","Tulsa, Oklahoma",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A coating failure on a buried crude oil pipeline caused undetected corrosion, leading to a slow leak.","Pipeline shutdown and affected section excavated.
Pipeline recoated with corrosion-resistant material.
Routine coating integrity inspections increased.",No injuries reported.
66,🟡 Minor,Minor,"May 18, 2022","Cheyenne, Wyoming",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"Heavy flash flooding washed away soil covering a buried gas pipeline, exposing it to external damage from debris.","Pipeline shut down and integrity inspection conducted.
Protective structures installed to prevent future flood damage.
Long-term flood risk assessment initiated.",No injuries reported.
67,🟡 Minor,Minor,"March 7, 2023","Denver, Colorado",XYZ Pipeline Company,None (Equipment Malfunction),Guide 115,"A compressor unit tripped offline due to an internal bearing failure, triggering an automatic emergency shutdown.","Backup compressors activated to prevent service disruptions.
Failed unit repaired and bearing system upgraded.
Condition-based monitoring system installed to detect future failures early.",No injuries reported.
68,⚪ Near Miss / No Impact,,"September 29, 2021","Midland, Texas",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"A valve packing failure at an LPG metering station resulted in a small, intermittent leak.","Station shutdown and vapor cloud dispersion monitored.
Valve replaced, and packing integrity assessments increased.",No injuries reported.
69,⚪ Near Miss / No Impact,,"November 2, 2022","Baton Rouge, Louisiana",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A pinhole leak developed in an aging crude oil pipeline, releasing a small but continuous amount of oil.","Pipeline shut down for immediate repairs.
Aging pipeline sections replaced with upgraded materials.
Pipeline integrity monitoring improved.",No injuries reported.
70,🟠 Moderate,Moderate,"April 21, 2023","Oklahoma City, Oklahoma",XYZ Pipeline Company,None (Fire Event),Guide 128,"A lightning strike hit a crude oil storage tank, igniting vapors around the tank's vent system.","Fire suppression systems activated, preventing tank damage.
Tank inspected for structural integrity.
Lightning protection system enhanced for the facility.",No injuries reported.
71,🟡 Minor,Minor,"August 15, 2022","Corpus Christi, Texas",XYZ Pipeline Company,Natural Gas (UN 1971),Guide 115,"A seal failure in an underground storage wellhead caused a minor but continuous natural gas leak, detected through gas sensors.","Storage facility operations halted, and leak source identified.
Seals replaced, and well integrity tested.
Preventive maintenance frequency increased for all storage wells.",No injuries reported.
72,🟡 Minor,Minor,"May 10, 2023**","Pittsburgh, Pennsylvania",XYZ Pipeline Company,Crude Oil (UN 1267),Guide 128,"A corrosion-induced failure in a 36-inch crude oil pipeline resulted in a slow leak, detected via pressure monitoring.","Pipeline shut down for immediate repair.
Corroded section replaced with new steel piping.
Corrosion inhibitors injected into the pipeline system.",No injuries reported.
73,🟠 Moderate,Moderate,"October 7, 2021","Houston, Texas",XYZ Pipeline Company,None (Fire Event),Guide 115,"A turbocharger overheated on a gas compressor unit, igniting oil residues near the engine, causing a fire.","Fire suppression systems activated, preventing spread.
Compressor shutdown until repairs were completed.
Preventive cooling measures installed to prevent future overheating.",No injuries reported.
74,🟡 Minor,Minor,"March 28, 2023","New Orleans, Louisiana",XYZ Pipeline Company,Jet Fuel (UN 1863),Guide 128,"A construction contractor failed to obtain proper permits and struck a jet fuel pipeline, causing fuel leakage.","Pipeline shut down and isolation valves closed immediately.
Cleanup crews deployed to contain and recover spilled fuel.
Regulatory fines issued against contractor for safety violations.",No injuries reported.
75,⚪ Near Miss / No Impact,,"July 5, 2021","Tulsa, Oklahoma",XYZ Pipeline Company,Liquefied Petroleum Gas (LPG) (UN 1075),Guide 115,"A faulty pressure relief valve in an LPG storage facility caused a small vapor release, detected by gas monitors.","LPG storage tanks isolated, and faulty valve replaced.
Emergency ventilation engaged to disperse vapors safely.
Additional sensor monitoring added for early detection.",No injuries reported.
